org,repo,linguagem,versao_atual,baseline_min,baseline_target,status,data_execucao
luucilia,app_server,DESCONHECIDO,N/A,N/A,N/A,N/A,2026-04-12
luucilia,ASPNETCore-NTier-Template,.NET,8,6.0,10.0,OK,2026-04-12
luucilia,automated-tests,DESCONHECIDO,N/A,N/A,N/A,N/A,2026-04-12
luucilia,blog_paperclip,DESCONHECIDO,N/A,N/A,N/A,N/A,2026-04-12
luucilia,cloud-decision-test,DESCONHECIDO,N/A,N/A,N/A,N/A,2026-04-12
luucilia,deploy-to-azure,DESCONHECIDO,N/A,N/A,N/A,N/A,2026-04-12
luucilia,Design-Patterns-csharp,.NET,NAO_DECLARADA,6.0,10.0,ABAIXO,2026-04-12
luucilia,eps-payments-banking-service-integration-template,Java,8,11,25,OK,2026-04-12
luucilia,fireplace-api,.NET,7,6.0,10.0,OK,2026-04-12
luucilia,gh-actions-workflow,DESCONHECIDO,N/A,N/A,N/A,N/A,2026-04-12
luucilia,git-version-control,DESCONHECIDO,N/A,N/A,N/A,N/A,2026-04-12
luucilia,github-collaboration,DESCONHECIDO,N/A,N/A,N/A,N/A,2026-04-12
luucilia,Github-dependabot,DESCONHECIDO,N/A,N/A,N/A,N/A,2026-04-12
luucilia,hello-world,DESCONHECIDO,N/A,N/A,N/A,N/A,2026-04-12
luucilia,java-example,Java,17,11,25,ABAIXO_TARGET,2026-04-12
luucilia,luucilia,DESCONHECIDO,N/A,N/A,N/A,N/A,2026-04-12
luucilia,markdown-documentation,DESCONHECIDO,N/A,N/A,N/A,N/A,2026-04-12
luucilia,ObjectOrientedEssentials,Java-LEGACY,N/A,11,25,ABAIXO,2026-04-12
luucilia,palmtree,Java-LEGACY,N/A,11,25,ABAIXO,2026-04-12
luucilia,PMPE,DESCONHECIDO,N/A,N/A,N/A,N/A,2026-04-12
luucilia,proxy_pattern,Java,NAO_DECLARADA,11,25,ABAIXO,2026-04-12
luucilia,quality-gate,DESCONHECIDO,N/A,N/A,N/A,N/A,2026-04-12
luucilia,rest-spring-boot,Java,17,11,25,ABAIXO_TARGET,2026-04-12
luucilia,rest-with-spring-boot-and-java-erudio,DESCONHECIDO,N/A,N/A,N/A,N/A,2026-04-12
luucilia,spring-data-examples,Java,25,11,25,OK,2026-04-12
luucilia,static-site-deployment,DESCONHECIDO,N/A,N/A,N/A,N/A,2026-04-12
luucilia,uploader_carrierwave,DESCONHECIDO,N/A,N/A,N/A,N/A,2026-04-12
luucilia,uploader_paperclip,DESCONHECIDO,N/A,N/A,N/A,N/A,2026-04-12
luucilia,uploader_shrine,DESCONHECIDO,N/A,N/A,N/A,N/A,2026-04-12
luucilia,Wix4BurnTutorial,.NET,NAO_DECLARADA,6.0,10.0,ABAIXO,2026-04-12
luucilia,workflow-artifacts,DESCONHECIDO,N/A,N/A,N/A,N/A,2026-04-12
luucilia,yas,Java,21,11,25,ABAIXO_TARGET,2026-04-12
luucilia,T1_ICS_1-2107_G3,Java-LEGACY,N/A,11,25,ABAIXO,2026-04-12
luucilia,T2_ICS_1-2107_G3,Java-LEGACY,N/A,11,25,ABAIXO,2026-04-12
luucilia,T3_ICS_1-2017_G3,Java-LEGACY,N/A,11,25,ABAIXO,2026-04-12
luucilia,T4_ICS_1-2017_G3,Java-LEGACY,N/A,11,25,ABAIXO,2026-04-12
luucilia,TrabalhoSB-G2-2-2016,Java-LEGACY,N/A,11,25,ABAIXO,2026-04-12
luucilia,PMPE,DESCONHECIDO,N/A,N/A,N/A,N/A,2026-04-12
luucilia,obsavoid,DESCONHECIDO,N/A,N/A,N/A,N/A,2026-04-12
